% Base Parameters: useNetwork = true, networkType = random, networkSplit = 20,20,60, meanK = 3, active = 1, distance = .2, initialProtesters = .2, initialSensitivity = .7, n = 100, gridWidth = 100, gridHeight = 100, 

% Random Parameters: 
% Test Parameters:
% ,,Results
Seed,Timestep,from,to,info,
2,1000,structures.Agent@7de26db8,structures.Agent@470e2030,null,
2,1000,structures.Agent@1175e2db,structures.Agent@311d617d,null,
2,1000,structures.Agent@36aa7bc2,structures.Agent@71dac704,null,
2,1000,structures.Agent@76ccd017,structures.Agent@77468bd9,null,
2,1000,structures.Agent@76ccd017,structures.Agent@707f7052,null,
2,1000,structures.Agent@76ccd017,structures.Agent@368239c8,null,
2,1000,structures.Agent@182decdb,structures.Agent@244038d0,null,
2,1000,structures.Agent@182decdb,structures.Agent@782830e,null,
2,1000,structures.Agent@26f0a63f,structures.Agent@3830f1c0,null,
2,1000,structures.Agent@26f0a63f,structures.Agent@5577140b,null,
2,1000,structures.Agent@26f0a63f,structures.Agent@7b3300e5,null,
2,1000,structures.Agent@4361bd48,structures.Agent@7b1d7fff,null,
2,1000,structures.Agent@4361bd48,structures.Agent@6a6824be,null,
2,1000,structures.Agent@4361bd48,structures.Agent@3b22cdd0,null,
2,1000,structures.Agent@4361bd48,structures.Agent@2e5c649,null,
2,1000,structures.Agent@2401f4c3,structures.Agent@9e89d68,null,
2,1000,structures.Agent@7637f22,structures.Agent@71dac704,null,
2,1000,structures.Agent@4926097b,structures.Agent@368239c8,null,
2,1000,structures.Agent@4926097b,structures.Agent@53bd815b,null,
2,1000,structures.Agent@762efe5d,structures.Agent@4926097b,null,
2,1000,structures.Agent@762efe5d,structures.Agent@2d363fb3,null,
2,1000,structures.Agent@5d22bbb7,structures.Agent@41a4555e,null,
2,1000,structures.Agent@41a4555e,structures.Agent@512ddf17,null,
2,1000,structures.Agent@41a4555e,structures.Agent@5aaa6d82,null,
2,1000,structures.Agent@3830f1c0,structures.Agent@6ed3ef1,null,
2,1000,structures.Agent@39ed3c8d,structures.Agent@4361bd48,null,
2,1000,structures.Agent@71dac704,structures.Agent@5e91993f,null,
2,1000,structures.Agent@123772c4,structures.Agent@2d363fb3,null,
2,1000,structures.Agent@123772c4,structures.Agent@1e81f4dc,null,
2,1000,structures.Agent@2d363fb3,structures.Agent@2a33fae0,null,
2,1000,structures.Agent@7d6f77cc,structures.Agent@6f75e721,null,
2,1000,structures.Agent@7d6f77cc,structures.Agent@5680a178,null,
2,1000,structures.Agent@5aaa6d82,structures.Agent@3caeaf62,null,
2,1000,structures.Agent@5aaa6d82,structures.Agent@2a33fae0,null,
2,1000,structures.Agent@5aaa6d82,structures.Agent@1f89ab83,null,
2,1000,structures.Agent@6f75e721,structures.Agent@11028347,null,
2,1000,structures.Agent@6f75e721,structures.Agent@6504e3b2,null,
2,1000,structures.Agent@69222c14,structures.Agent@6f75e721,null,
2,1000,structures.Agent@69222c14,structures.Agent@156643d4,null,
2,1000,structures.Agent@782830e,structures.Agent@379619aa,null,
2,1000,structures.Agent@782830e,structures.Agent@36aa7bc2,null,
2,1000,structures.Agent@470e2030,structures.Agent@14899482,null,
2,1000,structures.Agent@33833882,structures.Agent@69222c14,null,
2,1000,structures.Agent@200a570f,structures.Agent@7c53a9eb,null,
2,1000,structures.Agent@16b3fc9e,structures.Agent@383534aa,null,
2,1000,structures.Agent@16b3fc9e,structures.Agent@136432db,null,
2,1000,structures.Agent@e2d56bf,structures.Agent@7b3300e5,null,
