% Base Parameters: useNetwork = true, networkType = random, networkSplit = 20,20,60, meanK = 3, active = 1, distance = .2, initialProtesters = .2, initialSensitivity = .7, n = 100, gridWidth = 100, gridHeight = 100, 

% Random Parameters: 
% Test Parameters:
% ,,,Results
Seed,Timestep,Agent#,Agent,sensitivity,signal,
2,1000,78,structures.Agent@4cc77c2e,1.0,0.0,
2,1000,79,structures.Agent@7a7b0070,1.0,0.0,
2,1000,80,structures.Agent@39a054a5,1.0,0.0,
2,1000,81,structures.Agent@71bc1ae4,1.0,0.0,
2,1000,82,structures.Agent@6ed3ef1,1.0,0.0,
2,1000,83,structures.Agent@2437c6dc,1.0,0.0,
2,1000,84,structures.Agent@1f89ab83,1.0,0.0,
2,1000,85,structures.Agent@e73f9ac,0.7230632942284851,0.0,
2,1000,86,structures.Agent@61064425,1.0,0.0,
2,1000,87,structures.Agent@7b1d7fff,1.0,0.0,
2,1000,88,structures.Agent@299a06ac,0.6582585828170514,0.0,
2,1000,89,structures.Agent@383534aa,1.0,0.0,
2,1000,90,structures.Agent@6bc168e5,1.0,0.0,
2,1000,91,structures.Agent@7b3300e5,1.0,0.0,
2,1000,92,structures.Agent@2e5c649,1.0,0.0,
2,1000,93,structures.Agent@136432db,1.0,0.0,
2,1000,94,structures.Agent@7382f612,1.0,0.0,
2,1000,95,structures.Agent@1055e4af,1.0,0.0,
2,1000,96,structures.Agent@3caeaf62,1.0,0.0,
2,1000,97,structures.Agent@e6ea0c6,1.0,0.0,
2,1000,98,structures.Agent@6a38e57f,1.0,0.0,
2,1000,99,structures.Agent@5577140b,1.0,0.0,
3,1000,0,structures.Agent@1c6b6478,1.0,1.0,
3,1000,1,structures.Agent@67f89fa3,1.0,1.0,
3,1000,2,structures.Agent@4ac68d3e,1.0,1.0,
3,1000,3,structures.Agent@277c0f21,1.0,1.0,
3,1000,4,structures.Agent@6073f712,1.0,1.0,
3,1000,5,structures.Agent@43556938,1.0,1.0,
3,1000,6,structures.Agent@3d04a311,1.0,0.0,
3,1000,7,structures.Agent@7a46a697,1.0,1.0,
3,1000,8,structures.Agent@5f205aa,0.735259676736099,1.0,
3,1000,9,structures.Agent@6d86b085,1.0,1.0,
3,1000,10,structures.Agent@75828a0f,1.0,0.0,
3,1000,11,structures.Agent@3abfe836,1.0,0.0,
3,1000,12,structures.Agent@2ff5659e,1.0,0.0,
3,1000,13,structures.Agent@77afea7d,1.0,1.0,
3,1000,14,structures.Agent@161cd475,0.7324895924673548,0.0,
3,1000,15,structures.Agent@532760d8,1.0,0.0,
3,1000,16,structures.Agent@57fa26b7,1.0,0.0,
3,1000,17,structures.Agent@5f8ed237,1.0,1.0,
3,1000,18,structures.Agent@2f410acf,0.6720820396662632,0.0,
3,1000,19,structures.Agent@47089e5f,1.0,0.0,
3,1000,20,structures.Agent@4141d797,1.0,0.0,
3,1000,21,structures.Agent@68f7aae2,1.0,0.0,
3,1000,22,structures.Agent@4f47d241,1.0,0.0,
3,1000,23,structures.Agent@4c3e4790,1.0,0.0,
3,1000,24,structures.Agent@38cccef,1.0,0.0,
3,1000,25,structures.Agent@5679c6c6,1.0,0.0,
3,1000,26,structures.Agent@27ddd392,1.0,0.0,
3,1000,27,structures.Agent@19e1023e,1.0,0.0,
3,1000,28,structures.Agent@7cef4e59,1.0,0.0,
3,1000,29,structures.Agent@64b8f8f4,1.0,0.0,
3,1000,30,structures.Agent@2db0f6b2,1.0,0.0,
3,1000,31,structures.Agent@3cd1f1c8,1.0,0.0,
3,1000,32,structures.Agent@3a4afd8d,1.0,0.0,
3,1000,33,structures.Agent@1996cd68,1.0,0.0,
3,1000,34,structures.Agent@3339ad8e,0.6789481098351201,-1.0,
3,1000,35,structures.Agent@555590,1.0,0.0,
